Event;Date;Time;Total trip time;Place;Slip;Total Distance;Avg speed;FOC;LOAD ;RPM
EOSP;19/8/2024;7:42;11.9;Arrival. khalifa ;26.2;118.3;9.9;5.8 Ê;40%;127
;;;;;;;; Ê;;
FAOP;20/8/2024;12:00;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;20/8/2024;21:18;9.3;Arrival .ruwais;11.6;111.5;12;4.3 Ê;40%;128
;;;;;;;; Ê;;
FAOP;22/8/2024;16:48;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;23/8/2024;4:12;11.4;Arrival. khalifa ;23.8;116.4;10.2;5.1 Ê;40%;126
;;;;;;;; Ê;;
FAOP;24/8/2024;1:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;24/8/2024;12:00;10.9;Arrival .ruwais;14.3;126.9;11.6;4.9 Ê;40%;128
;;;;;;;; Ê;;
FAOP;26/8/2024;14:54;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;27/8/2024;2:12;11.3;Arrival. khalifa ;21.7;119.5;10.6;5.2 Ê;39%;127
;;;;;;;; Ê;;
FAOP;28/8/2024;0:06;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;28/8/2024;11:06;11;Arrival .ruwais;17.5;123.1;11.2;5.0Ê;40%;128
;;;;;;;; Ê;;
FAOP;30/8/2024;7:00;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;30/8/2024;18:12;11.2;Arrival. khalifa ;25.1;112.8;10.1;5.1 Ê;38%;127
;;;;;;;; Ê;;
FAOP;31/8/2024;23:18;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;1/9/2024;10:00;10.7;Arrival .ruwais;19;117.8;11;4.9 Ê;40%;128
;;;;;;;; Ê;;
FAOP;3/9/2024;10:30;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;3/9/2024;21:30;11;Arrival. khalifa ;23.5;123.2;11.2;6.6 Ê;58%;142
;;;;;;;; Ê;;
FAOP;4/9/2024;16:12;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;5/9/2024;2:12;10;Arrival .ruwais;19.4;123.5;12.4;6.3 Ê;61%;144
;;;;;;;; Ê;;
FAOP;7/9/2024;0:30;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
