,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
No,Date,Time,Latitude,,,Longitude,,,COG(deg.),SOG(kn),HDG(deg.),STW(kn),Set(deg.),Drift(kn),Wind Dir.(deg.),Wind Speed(m/sec),Depth(m),
16,01/16/2025,12:27:00 AM,24,8.131,N,52,45.116,E,224.699997,0.2,294.399994,0.07,211.662033,0.189248,20.723969,3.297495,5,
17,01/16/2025,12:28:04 AM,24,8.13,N,52,45.115,E,224,0.2,294.399994,0.11,192.980804,0.189932,12.782227,3.588177,5,
18,01/16/2025,12:30:00 AM,24,8.13,N,52,45.114,E,222.100006,0.2,294.299988,0.1,195.197433,0.192016,12.875519,3.289425,5,
19,01/16/2025,12:31:37 AM,24,8.13,N,52,45.115,E,76.800003,0,294.299988,0.13,117.300812,0.167405,2.718079,3.474848,5,
20,01/16/2025,12:32:55 AM,24,8.13,N,52,45.114,E,76.800003,0,294.200012,0.18,114.2901,0.182,4.32077,2.867205,5,
21,01/16/2025,12:36:34 AM,24,8.131,N,52,45.112,E,20.9,0,294.299988,0.07,114.299988,0.075,3.689728,2.787121,5,
22,01/16/2025,12:40:00 AM,24,8.128,N,52,45.113,E,210.899994,0.2,294.299988,0.12,179.057922,0.219069,358.133728,3.372325,5,
23,01/16/2025,12:41:25 AM,24,8.128,N,52,45.113,E,211,0.2,294.299988,0.03,211.251312,0.200696,357.983063,2.793123,5.1,
24,01/16/2025,12:45:34 AM,24,8.128,N,52,45.117,E,226.399994,0.1,294.299988,0.15,151.399857,0.153241,358.672333,4.066033,5.1,
25,01/16/2025,12:50:00 AM,24,8.129,N,52,45.114,E,144,0,294.299988,0.07,114.299988,0.086,5.788422,3.786733,5.1,
26,01/16/2025,01:00:00 AM,24,8.128,N,52,45.116,E,240.800003,0,294.399994,0.1,114.399994,0.107,2.685974,3.378657,5.2,
27,01/16/2025,01:03:15 AM,24,8.129,N,52,45.112,E,229.899994,0,294.5,0.14,138.588791,0.136537,11.416595,3.583013,5.2,
28,01/16/2025,01:10:00 AM,24,8.129,N,52,45.113,E,179.699997,0.1,294.399994,0.13,140.281906,0.200743,5.112915,3.475551,5.1,
29,01/16/2025,01:12:36 AM,24,8.125,N,52,45.116,E,183.100006,0.1,294.299988,0.04,167.918198,0.114796,7.849426,3.395597,5.1,
30,01/16/2025,01:14:05 AM,24,8.127,N,52,45.115,E,216.399994,0.1,294.299988,0.09,161.590775,0.133765,3.788788,3.481643,5,
31,01/16/2025,01:20:00 AM,24,8.129,N,52,45.112,E,215.5,0.1,294.299988,0.03,195.495743,0.092658,0.130493,3.493653,5,
32,01/16/2025,01:22:34 AM,24,8.128,N,52,45.112,E,215.800003,0.1,294.200012,0.06,177.862671,0.067809,1.309174,3.187867,5,
33,01/16/2025,01:22:42 AM,24,8.128,N,52,45.112,E,228.300003,0.1,294.200012,0.05,194.130508,0.078063,358.089233,3.388601,5,
34,01/16/2025,01:24:34 AM,24,8.127,N,52,45.113,E,213,0.1,294.200012,0.08,170.589188,0.117254,357.921875,3.381579,5,
35,01/16/2025,01:30:00 AM,24,8.131,N,52,45.111,E,291.100006,0.1,294.200012,0.11,120.058533,0.017492,9.756042,2.485284,5,
36,01/16/2025,01:31:04 AM,24,8.132,N,52,45.11,E,301.799988,0.1,294.200012,0.06,288.423645,0.034586,2.7677,2.888579,4.9,
37,01/16/2025,01:31:13 AM,24,8.132,N,52,45.11,E,302.899994,0.1,294.200012,0.12,246.198761,0.008925,3.478302,3.079525,4.9,
38,01/16/2025,01:40:00 AM,24,8.128,N,52,45.115,E,272.299988,0.1,294.299988,0.09,196.639603,0.040023,3.231476,2.382967,4.9,
39,01/16/2025,01:40:05 AM,24,8.128,N,52,45.115,E,268.600006,0.1,294.299988,0.09,202.203232,0.03998,7.074585,2.585913,4.9,
40,01/16/2025,01:40:39 AM,24,8.128,N,52,45.115,E,269.700012,0.1,294.200012,0.08,225.35907,0.038969,0.876709,3.183483,4.9,
41,01/16/2025,01:40:41 AM,24,8.128,N,52,45.115,E,270.600006,0.1,294.200012,0.07,224.81897,0.039365,358.745209,3.282102,4.9,
