,,,,,,,,,,,,,,,
,,,Event,Date,,Time,Total trip time,S t a t u s,Place,Slip,Total Distance,Avg speed,FOC,LOAD ,RPM
,,,EOSP,05/03/2024,,10:00:00 PM,0.826388888888889,,Arrival.KHL .KP ,28,115.2,139.401680672269,6.7  ,46%,125.8
,,,,,,,,,,,,,  ,,
,,,FAOP,05/05/2024,,09:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/05/2024,,06:00:00 PM,0.618055555555556,,Arrival .RWS,20.8,106,171.505617977528,6.9  ,66%,141.6
,,,,,,,,,,,,,  ,,
,,,FAOP,05/06/2024,,02:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/07/2024,,02:00:00 AM,23.1597222222222,,Arrival.KHL .KP ,26.6,119.7,5.16845577211394,7.1  ,48%,129.1
,,,,,,,,,,,,,  ,,
,,,FAOP,05/07/2024,,07:00:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/08/2024,,05:54:00 AM,23.0902777777778,,Arrival .RWS,15.8,118.3,5.12336842105263,5.7  ,44%,121.5
,,,,,,,,,,,,,  ,,
,,,FAOP,05/10/2024,,06:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/10/2024,,05:00:00 PM,0.756944444444444,,Arrival.KHL .KP ,23,123.1,162.62752293578,8.4  ,64%,139
,,,,,,,,,,,,,  ,,
,,,FAOP,05/11/2024,,11:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/11/2024,,10:42:00 PM,0.805555555555556,,Arrival .RWS,21,118,146.48275862069,6.2  ,40%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,05/12/2024,,05:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/13/2024,,05:00:00 AM,23.1597222222222,,Arrival.KHL .KP ,22.1,119.7,5.16845577211394,6.1  ,42%,121.7
,,,,,,,,,,,,,  ,,
,,,FAOP,05/14/2024,,03:12:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/14/2024,,02:00:00 PM,0.75,,Arrival .RWS,23.6,117.9,157.2,7.3  ,52%,134.6
,,,,,,,,,,,,,  ,,
,,,FAOP,05/15/2024,,11:06:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,05/15/2024,,09:42:00 PM,0.736111111111111,,Arrival.KHL .KP ,24.8,119.3,162.067924528302,8.  ,44%,141.1
,,,,,,,,,,,,,  ,,
,,,FAOP,05/16/2024,,05:36:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,05/17/2024,,05:30:00 AM,23.1597222222222,,Arrival .RWS,22,119.2,5.14686656671664,6.2  ,41%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,05/18/2024,,04:12:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
